video_id,track_id,class_name,hazard_label,uncertain_reason,approach_score,crossing_score,bbox_growth_ratio,total_displacement_norm,avg_flow_dx,avg_flow_dy,avg_flow_mag,avg_frame_diff_overlap,dx_total,dy_total,start_cx,start_cy,num_frames,first_frame,last_frame,image_width,image_height,confidence,evidence
IMG_4989,bicycle_1,bicycle,uncertain,short_track,0.30000000000000004,0.0,0.0,0.0,4.039790153503418,18.95209503173828,18.79792594909668,0.7189510143493321,0.0,0.0,405.0731506347656,283.5796203613281,1,4,4,960.0,1707.0,low,"bicycle_1 classified as uncertain (short_track) because track is only 1 frame long (min=3), so trajectory and bbox-growth cues are unreliable; motion was detected (flow_mag=18.80) but direction is not trustworthy."
IMG_4989,bicycle_2,bicycle,approaching,,0.8589168534550585,0.07381477355957031,0.1029722844850195,0.0374918470996959,5.324559926986694,-5.676611930131912,20.46712636947632,0.5290771102656375,70.8621826171875,-19.2303466796875,434.7557373046875,679.333740234375,4,7,10,960.0,1707.0,medium,bicycle_2 classified as approaching because bbox grew by 0.10 and approach_score=0.86; centroid moved toward image center / lower half; flow_mag=20.47.
IMG_4989,bicycle_3,bicycle,approaching,,0.75,0.48591747283935555,0.7660579182312773,0.2382606108311438,4.698463678359985,-0.2998344749212265,19.94660234451294,0.4444120104908017,466.4807739257813,11.2655029296875,440.8816528320313,680.2069091796875,8,7,19,960.0,1707.0,high,bicycle_3 classified as approaching because bbox grew by 0.77 and approach_score=0.75; flow_mag=19.95.
IMG_4989,bicycle_4,bicycle,uncertain,short_track,0.30000000000000004,0.0,0.0,0.0,-1.2307817935943604,4.204045295715332,12.09762477874756,0.3581478795801715,0.0,0.0,691.5169067382812,1013.3560791015624,1,15,15,960.0,1707.0,low,"bicycle_4 classified as uncertain (short_track) because track is only 1 frame long (min=3), so trajectory and bbox-growth cues are unreliable; motion was detected (flow_mag=12.10) but direction is not trustworthy."
IMG_4989,bicycle_5,bicycle,uncertain,short_track,0.30000000000000004,0.0,0.0,0.0,2.0001869201660156,2.9668548107147217,9.253978729248049,0.3202733076616949,0.0,0.0,196.3675994873047,1212.29443359375,1,16,16,960.0,1707.0,low,"bicycle_5 classified as uncertain (short_track) because track is only 1 frame long (min=3), so trajectory and bbox-growth cues are unreliable; motion was detected (flow_mag=9.25) but direction is not trustworthy."
IMG_4989,bicycle_6,bicycle,uncertain,short_track,0.30000000000000004,0.016457621256510416,-0.2121085319411144,0.026063450951856,-1.6284081935882568,1.9740991592407229,16.93946075439453,0.4854845436818545,15.79931640625,-48.5367431640625,899.7857666015625,672.9730224609375,2,19,21,960.0,1707.0,low,"bicycle_6 classified as uncertain (short_track) because track is only 2 frames long (min=3), so trajectory and bbox-growth cues are unreliable; motion was detected (flow_mag=16.94) but direction is not trustworthy."
IMG_4989,bicycle_7,bicycle,uncertain,short_track,0.30000000000000004,0.0,0.0,0.0,0.0703051388263702,14.245933532714844,13.43343734741211,0.5172558922558923,0.0,0.0,763.44091796875,99.09002685546876,1,22,22,960.0,1707.0,low,"bicycle_7 classified as uncertain (short_track) because track is only 1 frame long (min=3), so trajectory and bbox-growth cues are unreliable; motion was detected (flow_mag=13.43) but direction is not trustworthy."
IMG_4989,person_1,person,moving_away,,0.55,0.005417442321777344,-0.8885881745450748,0.1353766247111012,4.054717351992925,-4.139824613928795,13.934009552001951,0.8034701215271333,5.20074462890625,-265.0746612548828,337.62078857421875,436.05804443359375,3,3,5,960.0,1707.0,high,person_1 classified as moving_away because bbox shrank: growth_ratio=-0.89 below -0.15.
IMG_4989,person_10,person,moving_away,,0.30000000000000004,0.1573026220003764,-0.0785583786083836,0.0771119309885495,2.0535850524902344,-1.259109542518854,15.917065334320068,0.6428074811322226,-151.01051712036133,-1.536865234375,183.91796875,590.8807373046875,10,6,21,960.0,1707.0,medium,person_10 classified as moving_away because bbox shrank slightly (growth_ratio=-0.08) and lateral motion dx=-151.0px (-15.7% of width) is below the 50% strong-crossing threshold; treating lateral component as ego-motion drift.
IMG_4989,person_11,person,approaching,,0.9999999999999999,0.003602085510889689,0.5887866162822787,0.0670545194383532,-5.981093257665634,5.13165608048439,17.20858860015869,0.412809011707054,3.4580020904541016,131.27606201171875,25.2726993560791,577.2849731445312,8,6,13,960.0,1707.0,high,person_11 classified as approaching because bbox grew by 0.59 and approach_score=1.00; centroid moved toward image center / lower half; flow_mag=17.21.
IMG_4989,person_12,person,approaching,,0.9999999999999999,0.057781155904134116,5.486659765559306,0.056273766969537,0.7230068812003503,-1.797339265163128,14.6328014593858,0.5714884901858684,55.46990966796875,95.23101806640624,337.3470458984375,516.430419921875,13,6,25,960.0,1707.0,high,person_12 classified as approaching because bbox grew by 5.49 and approach_score=1.00; centroid moved toward image center / lower half; flow_mag=14.63.
IMG_4989,person_13,person,moving_away,,0.75,0.050557518005371095,2.4501591487811853,0.0249796349495105,-0.6385716497898102,-0.0700036436319351,15.463879346847534,0.5721183544502386,-48.53521728515625,-6.130615234375,268.8982849121094,553.5306396484375,16,6,21,960.0,1707.0,medium,person_13 classified as moving_away because trajectory reversal: bbox peaked at 3.87x end-area and second-half growth is -0.20 (overall growth 2.45); object approached then receded.
IMG_4989,person_14,person,approaching,,0.75,0.10214172999064128,0.8321583906291787,0.060225987636301,4.266544604301453,-0.5954858303070069,15.68692593574524,0.4340813413905756,-98.05606079101562,65.55023193359375,506.0907897949219,527.3983154296875,10,6,20,960.0,1707.0,high,person_14 classified as approaching because bbox grew by 0.83 and approach_score=0.75; flow_mag=15.69.
IMG_4989,person_15,person,uncertain,short_track,0.30000000000000004,0.0,0.0,0.0,10.990055084228516,-0.1655587702989578,16.67833709716797,0.3720948169477581,0.0,0.0,817.0462646484375,703.4146728515625,1,15,15,960.0,1707.0,low,"person_15 classified as uncertain (short_track) because track is only 1 frame long (min=3), so trajectory and bbox-growth cues are unreliable; motion was detected (flow_mag=16.68) but direction is not trustworthy."
IMG_4989,person_16,person,uncertain,short_track,0.30000000000000004,0.10696341196695962,-0.1240435033808066,0.0559780586517887,0.3579080104827881,7.258768081665039,13.140017032623293,0.8838441598723856,-102.68487548828124,-38.39740753173828,307.08428955078125,77.763916015625,2,22,24,960.0,1707.0,low,"person_16 classified as uncertain (short_track) because track is only 2 frames long (min=3), so trajectory and bbox-growth cues are unreliable; motion was detected (flow_mag=13.14) but direction is not trustworthy."
IMG_4989,person_17,person,uncertain,short_track,0.30000000000000004,0.0,0.0,0.0,5.658761978149414,30.43062400817871,27.812267303466797,0.887261674495717,0.0,0.0,165.8839111328125,39.257083892822266,1,24,24,960.0,1707.0,low,"person_17 classified as uncertain (short_track) because track is only 1 frame long (min=3), so trajectory and bbox-growth cues are unreliable; motion was detected (flow_mag=27.81) but direction is not trustworthy."
IMG_4989,person_2,person,approaching,,0.75,0.057703288396199544,0.944103183672674,0.1033768945350506,-2.0117959131797156,-1.7908687988917034,14.925491333007812,0.781060643169686,-55.39515686035156,-194.7305450439453,147.7265625,447.916748046875,3,3,5,960.0,1707.0,high,person_2 classified as approaching because bbox grew by 0.94 and approach_score=0.75; flow_mag=14.93.
IMG_4989,person_3,person,uncertain,short_track,0.30000000000000004,0.006703376770019531,-0.1141662452415331,0.1068835826295165,1.892412781715393,-0.2097048759460449,14.371639728546144,0.8593136577595053,-6.43524169921875,-209.22509765625,39.15879440307617,445.8626098632813,2,3,4,960.0,1707.0,low,"person_3 classified as uncertain (short_track) because track is only 2 frames long (min=3), so trajectory and bbox-growth cues are unreliable; motion was detected (flow_mag=14.37) but direction is not trustworthy."
IMG_4989,person_4,person,approaching,,0.75,0.06539374987284342,9.091628411295682,0.0694543061631424,-5.1303714116414385,-4.56788694858551,13.842327117919922,0.7788245734749252,-62.77799987792969,-120.6679229736328,253.63653564453125,372.67425537109375,3,3,5,960.0,1707.0,high,person_4 classified as approaching because bbox grew by 9.09 and approach_score=0.75; flow_mag=13.84.
IMG_4989,person_5,person,uncertain,short_track,0.9999999999999999,0.004534498850504557,0.8300523824171195,0.0321161243444019,-1.4812490940093994,-0.1884920597076416,7.395148754119873,0.7168547037704891,4.353118896484375,62.746368408203125,258.87774658203125,146.52587890625,2,4,5,960.0,1707.0,low,"person_5 classified as uncertain (short_track) because track is only 2 frames long (min=3), so trajectory and bbox-growth cues are unreliable; motion was detected (flow_mag=7.40) but direction is not trustworthy."
IMG_4989,person_6,person,uncertain,short_track,0.9999999999999999,0.03493976593017578,8.039785259705107,0.0451413658388901,8.569356679916382,-5.825815558433533,12.655115604400637,0.6731083921260963,33.54217529296875,81.79597473144531,398.377197265625,155.14871215820312,2,4,5,960.0,1707.0,low,"person_6 classified as uncertain (short_track) because track is only 2 frames long (min=3), so trajectory and bbox-growth cues are unreliable; motion was detected (flow_mag=12.66) but direction is not trustworthy."
IMG_4989,person_7,person,uncertain,short_track,0.30000000000000004,0.0,0.0,0.0,-7.431048393249512,12.75606632232666,16.59233283996582,0.7961708394698085,0.0,0.0,494.9661254882813,175.9786376953125,1,5,5,960.0,1707.0,low,"person_7 classified as uncertain (short_track) because track is only 1 frame long (min=3), so trajectory and bbox-growth cues are unreliable; motion was detected (flow_mag=16.59) but direction is not trustworthy."
